"家庭住宅及主要設備概況","總平均%","新北市%","臺北市%","桃園市%","臺中市%","臺南市%","高雄市%","宜蘭縣%","新竹縣%","苗栗縣%","彰化縣%","南投縣%","雲林縣%","嘉義縣%","屏東縣%","臺東縣%","花蓮縣%","澎湖縣%","基隆市%","新竹市%","嘉義市%"
"期刊雜誌普及率","1.71","2.05","2.45","1.33","1.74","1.32","1.46","1.73","2.29","0.33","1.78","1.37","0.49","0.31","1.45","0","0","0","0.64","4.33","6.5"
"彩色電視機每百戶擁有數","138.72","125.52","132.34","146.32","141.83","144.5","147.93","148.41","151.1","155.99","138.79","135.05","123.14","132.11","138.66","126.26","131.67","150.32","152.59","147.82","126.73"
"數位影音光碟機每百戶擁有數","5.03","5.45","9.21","4.81","5.89","4.22","4.12","2.78","8.57","4.23","2.51","3.67","1.52","2.13","1.7","3.14","3.73","2.03","4.8","5.98","1.92"
"攝影機每百戶擁有數","2.85","3.02","4.26","3.23","2.71","2.56","1.71","2.33","6.37","3.23","1.76","0.63","1.04","2.24","3.22","2.15","1.16","0.95","5.64","3.23","2.26"
"音響每百戶擁有數","13.19","14.59","19.9","14.66","13.28","11.56","11","8.3","25.97","16.04","5.77","11.22","4.42","6.69","6.72","8.89","9.76","6.39","12.33","18.43","8.03"
"鋼琴(含電子琴)每百戶擁有數","5.84","2.24","10.04","6.32","7.16","6.05","7.03","1.8","12.02","5.57","3.73","3.12","1.01","2.89","3.59","5.38","4.03","3.38","4.88","15.32","9.03"
"數位相機每百戶擁有數","6.46","7.43","10.04","8.53","5.95","5.79","6.65","2.05","6.02","3.96","3.86","0.66","2.04","0.32","3.3","7.02","5.41","2.05","6.2","10.82","4.77"
"電視遊樂器每百戶擁有數","12.78","16.95","16","15.23","12.9","9.96","14.04","5.43","27.13","8.17","4.96","2.83","2.61","2.84","5.19","3.93","5.99","3.38","12.25","21.06","5.16"
"有線電視頻道設備(含多媒體隨選視訊)每百戶擁有數","81.52","89.92","94.76","79.3","73.81","78.36","82.64","83.02","77.09","80.76","69.4","74.05","74.12","66.1","75.32","68.72","69.55","79.41","95.86","77.75","69.95"
"家用電腦每百戶擁有數","117.77","121.7","148.85","135.07","126.76","115.64","140.93","87.3","141.53","91.23","69.33","73.22","44.77","60.43","69.65","49.09","60.86","62.7","101.97","148.9","115.2"
"電話機每百戶擁有數","74.67","76.91","85.13","65.8","70.67","78.37","69.58","74.81","64.14","74.88","81.91","81.98","85","83.84","73.08","51.23","55.18","84.07","75.07","66.24","83.94"
"行動電話每百戶擁有數","234.53","236.1","246.85","252.68","241.65","229.64","239.94","234.42","234.77","244.07","207.96","221.27","206.67","198.09","217.81","200.37","193.77","200.38","228.13","230.87","223.05"
"汽車每百戶擁有數","72.68","46.2","46.97","92.17","88.62","81.82","74.44","88.53","110.93","96.51","83.44","94.39","76.06","76.12","76.46","74.61","69.22","51.32","50.08","88.14","84.85"
