,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
57,Shuili,Hydro,Run-Of-River,PP,TW,12.8,,,,,,1992,,,23.8117,120.8539,,,
58,Liwu,Hydro,Run-Of-River,PP,TW,32.0,,,,,,2025,,,24.1551,121.6272,,,
59,Longjian,Hydro,Run-Of-River,PP,TW,97.2,,,,,,1959,,,24.0037,121.426,,,
60,Bihai,Hydro,Run-Of-River,PP,TW,61.2,,,,,,2025,,,24.334,121.6416,,,
61,Wulai/Gueishan/Cukeng,Hydro,Run-Of-River,PP,TW,40.5,,,,,,2025,,,24.9025,121.5612,,,
62,Small hydro north,Hydro,Run-Of-River,PP,TW,31.1,,,,,,2025,,,24.6953,121.0978,,,
63,Small hydro central,Hydro,Run-Of-River,PP,TW,31.3,,,,,,2025,,,24.2702,120.7919,,,
64,Small hydro south,Hydro,Run-Of-River,PP,TW,7.2,,,,,,2025,,,23.2305,120.4473,,,
65,Small hydro east,Hydro,Run-Of-River,PP,TW,54.6,,,,,,2025,,,23.9677,121.4566,,,
66,Feitsui,Hydro,Reservoir,PP,TW,70.0,,,,,,2025,,,24.9095,121.5772,,,
67,Shihmen,Hydro,Reservoir,PP,TW,90.0,,,,,,1964,,,24.8132,121.2438,,,
68,Tsengwen,Hydro,Reservoir,PP,TW,50.0,,,,,,2025,,,23.2479,120.5329,,,
69,Yihsing,Hydro,Run-Of-River,PP,TW,40.0,,,,,,2025,,,24.777,121.3619,,,
70,Mingjian,Hydro,Run-Of-River,PP,TW,16.7,,,,,,2025,,,23.8352,120.7112,,,
71,Chianan Xikou/Wushantou,Hydro,Run-Of-River,PP,TW,13.7,,,,,,2025,,,23.2305,120.4473,,,
72,Beinan,Hydro,Run-Of-River,PP,TW,2.0,,,,,,2025,,,23.9677,121.4566,,,
73,Guanshan,Hydro,Run-Of-River,PP,TW,1.0,,,,,,2025,,,23.9677,121.4566,,,
74,Other purchased small hydro,Hydro,Run-Of-River,PP,TW,6.1,,,,,,2025,,,24.2702,120.7919,,,
75,Takuan II (Minghu),Hydro,Pumped Storage,Store,TW,1000.0,,6.0,,,,1977,,,23.8545,120.8708,,,
76,Mingtan,Hydro,Pumped Storage,Store,TW,1602.0,,6.0,,,,1993,,,23.8359,120.8686,,,
77,Batteries,Battery,Battery,Store,TW,852.7,,,,,,2025,,,24.15,120.65,,,
78,Solar 基隆市,Solar,Pv,PP,TW,28.3,,,,,,2022,,,25.1127,121.7122,,,
79,Solar 臺北市,Solar,Pv,PP,TW,81.3,,,,,,2021,,,25.0784,121.5684,,,
80,Solar 新北市,Solar,Pv,PP,TW,206.9,,,,,,2022,,,24.9847,121.7875,,,
81,Solar 桃園市,Solar,Pv,PP,TW,859.9,,,,,,2021,,,24.8498,121.2628,,,
82,Solar 新竹縣,Solar,Pv,PP,TW,227.2,,,,,,2021,,,24.6806,121.1609,,,
83,Solar 新竹市,Solar,Pv,PP,TW,56.5,,,,,,2021,,,24.78,120.9745,,,
84,Solar 宜蘭縣,Solar,Pv,PP,TW,202.1,,,,,,2021,,,24.6465,121.6495,,,
85,Solar 苗栗縣,Solar,Pv,PP,TW,465.4,,,,,,2021,,,24.5094,120.8765,,,
86,Solar 臺中市,Solar,Pv,PP,TW,817.1,,,,,,2021,,,24.2208,120.8602,,,
87,Solar 彰化縣,Solar,Pv,PP,TW,1967.5,,,,,,2021,,,23.9894,120.4984,,,
88,Solar 雲林縣,Solar,Pv,PP,TW,1744.1,,,,,,2020,,,23.6686,120.4028,,,
89,Solar 南投縣,Solar,Pv,PP,TW,271.9,,,,,,2022,,,23.8349,120.9408,,,
90,Solar 嘉義縣,Solar,Pv,PP,TW,1473.8,,,,,,2021,,,23.4258,120.5154,,,
91,Solar 嘉義市,Solar,Pv,PP,TW,52.0,,,,,,2021,,,23.4756,120.4549,,,
92,Solar 臺南市,Solar,Pv,PP,TW,3601.5,,,,,,2021,,,23.1485,120.3508,,,
93,Solar 高雄市,Solar,Pv,PP,TW,1473.7,,,,,,2021,,,22.9704,120.6397,,,
94,Solar 屏東縣,Solar,Pv,PP,TW,1571.0,,,,,,2021,,,22.3886,120.6568,,,
95,Solar 花蓮縣,Solar,Pv,PP,TW,203.3,,,,,,2021,,,23.7288,121.3995,,,
96,Solar 臺東縣,Solar,Pv,PP,TW,88.4,,,,,,2021,,,22.8342,121.0271,,,
