,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
57,Bihai,Hydro,Run-Of-River,PP,TW,63.1,,,,,,2025,,,24.334,121.6416,,,
58,Wulai/Gueishan/Cukeng,Hydro,Run-Of-River,PP,TW,41.7,,,,,,2025,,,24.9025,121.5612,,,
59,Small hydro north,Hydro,Run-Of-River,PP,TW,32.0,,,,,,2025,,,24.6953,121.0978,,,
60,Small hydro central,Hydro,Run-Of-River,PP,TW,32.3,,,,,,2025,,,24.2702,120.7919,,,
61,Small hydro south,Hydro,Run-Of-River,PP,TW,7.4,,,,,,2025,,,23.2305,120.4473,,,
62,Small hydro east,Hydro,Run-Of-River,PP,TW,56.3,,,,,,2025,,,23.9677,121.4566,,,
63,Feitsui,Hydro,Reservoir,PP,TW,72.1,,,,,,2025,,,24.9095,121.5772,,,
64,Shihmen,Hydro,Reservoir,PP,TW,92.7,,,,,,1964,,,24.8132,121.2438,,,
65,Tsengwen,Hydro,Reservoir,PP,TW,51.5,,,,,,2025,,,23.2479,120.5329,,,
66,Yihsing,Hydro,Run-Of-River,PP,TW,41.2,,,,,,2025,,,24.777,121.3619,,,
67,Mingjian,Hydro,Run-Of-River,PP,TW,17.2,,,,,,2025,,,23.8352,120.7112,,,
68,Chianan Xikou/Wushantou,Hydro,Run-Of-River,PP,TW,14.1,,,,,,2025,,,23.2305,120.4473,,,
69,Beinan,Hydro,Run-Of-River,PP,TW,2.1,,,,,,2025,,,23.9677,121.4566,,,
70,Guanshan,Hydro,Run-Of-River,PP,TW,1.0,,,,,,2025,,,23.9677,121.4566,,,
71,Other purchased small hydro,Hydro,Run-Of-River,PP,TW,6.3,,,,,,2025,,,24.2702,120.7919,,,
72,Takuan II (Minghu),Hydro,Pumped Storage,Store,TW,1000.0,,6.0,,,,1977,,,23.8545,120.8708,,,
73,Mingtan,Hydro,Pumped Storage,Store,TW,1602.0,,6.0,,,,1993,,,23.8359,120.8686,,,
74,Batteries,Battery,Battery,Store,TW,852.7,,,,,,2025,,,24.15,120.65,,,
75,Solar 基隆市,Solar,Pv,PP,TW,60.1,,,,,,2022,,,25.1127,121.7122,,,
76,Solar 臺北市,Solar,Pv,PP,TW,172.7,,,,,,2021,,,25.0784,121.5684,,,
77,Solar 新北市,Solar,Pv,PP,TW,439.6,,,,,,2022,,,24.9847,121.7875,,,
78,Solar 桃園市,Solar,Pv,PP,TW,1826.9,,,,,,2021,,,24.8498,121.2628,,,
79,Solar 新竹縣,Solar,Pv,PP,TW,482.7,,,,,,2021,,,24.6806,121.1609,,,
80,Solar 新竹市,Solar,Pv,PP,TW,120.0,,,,,,2021,,,24.78,120.9745,,,
81,Solar 宜蘭縣,Solar,Pv,PP,TW,429.4,,,,,,2021,,,24.6465,121.6495,,,
82,Solar 苗栗縣,Solar,Pv,PP,TW,988.7,,,,,,2021,,,24.5094,120.8765,,,
83,Solar 臺中市,Solar,Pv,PP,TW,1735.9,,,,,,2021,,,24.2208,120.8602,,,
84,Solar 彰化縣,Solar,Pv,PP,TW,4179.9,,,,,,2021,,,23.9894,120.4984,,,
85,Solar 雲林縣,Solar,Pv,PP,TW,3705.3,,,,,,2020,,,23.6686,120.4028,,,
86,Solar 南投縣,Solar,Pv,PP,TW,577.6,,,,,,2022,,,23.8349,120.9408,,,
87,Solar 嘉義縣,Solar,Pv,PP,TW,3131.1,,,,,,2021,,,23.4258,120.5154,,,
88,Solar 嘉義市,Solar,Pv,PP,TW,110.5,,,,,,2021,,,23.4756,120.4549,,,
89,Solar 臺南市,Solar,Pv,PP,TW,7651.4,,,,,,2021,,,23.1485,120.3508,,,
90,Solar 高雄市,Solar,Pv,PP,TW,3130.9,,,,,,2021,,,22.9704,120.6397,,,
91,Solar 屏東縣,Solar,Pv,PP,TW,3337.6,,,,,,2021,,,22.3886,120.6568,,,
92,Solar 花蓮縣,Solar,Pv,PP,TW,431.9,,,,,,2021,,,23.7288,121.3995,,,
93,Solar 臺東縣,Solar,Pv,PP,TW,187.8,,,,,,2021,,,22.8342,121.0271,,,
94,Hsinta new CC #2,CCGT,CCGT,PP,TW,1300.0,,,,,,2026,,,22.8523,120.1973,,,
95,Kuokuang phase 2,CCGT,CCGT,PP,TW,1250.0,,,,,,2028,,,25.0419,121.3424,,,
96,Talin new CC,CCGT,CCGT,PP,TW,550.0,,,,,,2029,,,22.5353,120.3337,,,
97,Tunghsiao new CC,CCGT,CCGT,PP,TW,560.0,,,,,,2029,,,24.4906,120.6714,,,
98,Mailiao CC,CCGT,CCGT,PP,TW,1200.0,,,,,,2029,,,23.8031,120.1905,,,
99,Mailiao CC,CCGT,CCGT,PP,TW,1200.0,,,,,,2029,,,23.8031,120.1905,,,
100,Talin new CC,CCGT,CCGT,PP,TW,550.0,,,,,,2030,,,22.5353,120.3337,,,
101,Tunghsiao new CC,CCGT,CCGT,PP,TW,560.0,,,,,,2030,,,24.4906,120.6714,,,
102,Tunghsiao new CC,CCGT,CCGT,PP,TW,560.0,,,,,,2030,,,24.4906,120.6714,,,
103,Tunghsiao new CC,CCGT,CCGT,PP,TW,560.0,,,,,,2030,,,24.4906,120.6714,,,
104,Taichung new CC #3-6,CCGT,CCGT,PP,TW,1300.0,,,,,,2031,,,24.2152,120.4815,,,
105,Tunghsiao new CC,CCGT,CCGT,PP,TW,560.0,,,,,,2031,,,24.4906,120.6714,,,
106,Taichung new CC #3-6,CCGT,CCGT,PP,TW,1300.0,,,,,,2032,,,24.2152,120.4815,,,
107,Hsieh-ho new CC,CCGT,CCGT,PP,TW,1300.0,,,,,,2032,,,25.1569,121.7387,,,
108,New gas (unspecified site),CCGT,CCGT,PP,TW,1300.0,,,,,,2032,,,25.0253,121.0458,,,
109,Taichung new CC #3-6,CCGT,CCGT,PP,TW,1300.0,,,,,,2033,,,24.2152,120.4815,,,
110,New gas (unspecified site),CCGT,CCGT,PP,TW,1300.0,,,,,,2033,,,25.0253,121.0458,,,
111,Taichung new CC #3-6,CCGT,CCGT,PP,TW,1300.0,,,,,,2034,,,24.2152,120.4815,,,
112,"Geothermal (Yilan, assumed)",Geothermal,Geothermal,PP,TW,1400.0,,,,,,2034,,,24.6121,121.6369,,,
113,Biomass and waste 臺北市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,25.0784,121.5684,,,
114,Biomass and waste 新北市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,24.9847,121.7875,,,
115,Biomass and waste 桃園市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,24.8498,121.2628,,,
116,Biomass and waste 臺中市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,24.2208,120.8602,,,
117,Biomass and waste 臺南市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,23.1485,120.3508,,,
118,Biomass and waste 高雄市 (assumed),Bioenergy,Steam Turbine,PP,TW,140.0,,,,,,2034,,,22.9704,120.6397,,,
