match,name,fueltype,technology,set,duration_h,lat,lon,coord_source,note,datein,datein_source
其它購電小水力,Other purchased small hydro,Hydro,Run-Of-River,PP,,24.2702,120.7919,OSM w266319475,placed with central small hydro,2025,placeholder 2025
大觀二,Takuan II (Minghu),Hydro,Pumped Storage,Store,6.0,23.8545,120.8708,OSM w1105678337,6 h at full load (e-info.org.tw),1977,powerplantmatching
明潭,Mingtan,Hydro,Pumped Storage,Store,6.0,23.8359,120.8686,OSM w515759430,6 h at full load (e-info.org.tw),1993,powerplantmatching
電池,Batteries,Battery,Battery,Store,,24.15,120.65,assumed,Taipower total only; no locations published,2025,placeholder 2025
觀園,Guanyuan wind,Wind,Onshore,PP,,25.0669,121.1106,powerplantmatching,,2005,powerplantmatching
台中港,Taichung Port wind,Wind,Onshore,PP,,24.3083,120.5356,OSM r13131411,,2005,powerplantmatching
王功,Wanggong wind,Wind,Onshore,PP,,23.9832,120.3345,OSM r13131410,,2010,powerplantmatching
彰工,Changkong wind,Wind,Onshore,PP,,24.1128,120.4076,powerplantmatching,,2007,powerplantmatching
雲麥,Yunmai wind,Wind,Onshore,PP,,23.8155,120.2554,OSM r13131409,,2025,placeholder 2025
四湖,Sihu wind,Wind,Onshore,PP,,23.6616,120.1571,OSM r13131408,,2010,powerplantmatching
其它台電自有,Other Taipower wind,Wind,Onshore,PP,,24.1128,120.4076,powerplantmatching,placed with Changkong,2025,placeholder 2025
苗栗大鵬,Miaoli Dapeng wind,Wind,Onshore,PP,,24.6086,120.7306,powerplantmatching,,2005,powerplantmatching
鹿威彰濱,Luwei Changbin wind,Wind,Onshore,PP,,24.1544,120.427,powerplantmatching,,2007,powerplantmatching
觀威觀音&桃威新屋,Guanwei/Taowei wind,Wind,Onshore,PP,,25.0264,121.0428,powerplantmatching,,2010,powerplantmatching
中威大安,Zhongwei Da'an wind,Wind,Onshore,PP,,24.397,120.593,powerplantmatching,,2008,powerplantmatching
創維風,Chuangwei wind,Wind,Onshore,PP,,23.8138,120.2639,powerplantmatching,,2009,powerplantmatching
新源崙背,Hsinyuan Lunbei wind,Wind,Onshore,PP,,23.8092,120.3401,powerplantmatching,,2023,powerplantmatching
其它購電風力,Other purchased onshore wind,Wind,Onshore,PP,,24.1128,120.4076,powerplantmatching,placed with Changkong,2025,placeholder 2025
離岸一期,Taipower offshore phase 1,Wind,Offshore,PP,,23.9646,120.2383,powerplantmatching,,2021,powerplantmatching
海洋竹南,Formosa 1,Wind,Offshore,PP,,24.7107,120.8122,OSM r13131412,,2019,powerplantmatching
海能風,Formosa 2,Wind,Offshore,PP,,24.772,120.6472,powerplantmatching,,2023,powerplantmatching
沃一風,Greater Changhua 1,Wind,Offshore,PP,,24.1537,119.9494,OSM w1333770360,,2023,powerplantmatching
沃二風,Greater Changhua 2a,Wind,Offshore,PP,,24.1575,119.8278,OSM w1459169021,,2023,powerplantmatching
沃南風,Greater Changhua 2b (assumed),Wind,Offshore,PP,,24.23,120.0,thewindpower.net,name assumed to be Greater Changhua 2b,2025,placeholder 2025
芳一風,Changfang Xidao 1,Wind,Offshore,PP,,24.1115,120.2042,powerplantmatching,,2022,powerplantmatching
芳二風,Changfang Xidao 2,Wind,Offshore,PP,,24.1115,120.2042,powerplantmatching,,2022,powerplantmatching
允湖,Yunlin (Yunneng) A,Wind,Offshore,PP,,23.5894,120.0289,OSM w882630880,,2025,placeholder 2025
允西,Yunlin (Yunneng) B,Wind,Offshore,PP,,23.5894,120.0289,OSM w882630880,,2025,placeholder 2025
中能風,Chung-Neng,Wind,Offshore,PP,,23.9,120.15,thewindpower.net,,2025,placeholder 2025
